prompt,response
What is `Custom Health Checks` in ELB?,"Beyond basic ping/HTTP/TCP, you can define custom health check paths and response codes for fine-grained health monitoring."
How does `Elastic Network Interface (ENI)` relate to Load Balancers?,ELB uses ENIs in your VPC subnets to manage network traffic to and from the load balancer.
What is `Pre-warming` an ELB?,A legacy practice where you'd contact AWS support to scale your Classic Load Balancer in advance of a large traffic surge. Less relevant for modern ALBs/NLBs due to their rapid auto-scaling.
When would you use a `Private Load Balancer`?,"For internal microservices, API backends, or multi-tier applications where components communicate within the VPC without internet exposure."
Can you associate multiple security groups with an ELB?,"Yes, you can associate multiple security groups with your load balancer to manage different security rules."
How does `Idle Timeout` impact long-lived connections for ALBs?,"If an HTTP connection remains idle for longer than the configured idle timeout, the load balancer closes the connection, potentially affecting WebSockets or long-polling applications if not adjusted."
What is `Weight-based Routing` in Target Groups for ALB?,"Allows you to specify a weight for each target group in a forward action, enabling traffic splitting (e.g., for A/B testing or blue/green deployments)."
What is `Content-Type based Routing` in ALB?,"ALB allows routing rules based on the `Content-Type` HTTP header, directing requests based on the type of content being sent."
What is `Query String based Routing` in ALB?,ALB allows routing rules based on the `query string` parameters in the URL.
How does `Auto Scaling Group Health Checks` work with ELB?,"Auto Scaling Groups can use ELB health checks. If an instance is marked unhealthy by the ELB, Auto Scaling will terminate and replace it, ensuring application availability."
What is the maximum number of registered targets per target group?,"The default is 1000 targets, but can be increased by request."
What is the typical latency of NLB compared to ALB?,NLB generally offers significantly lower latency than ALB due to operating at Layer 4 and avoiding Layer 7 processing.
What is Google Cloud Virtual Private Cloud (VPC)?,"Google Cloud VPC is a global, software-defined networking service that provides logical isolation for your cloud resources, allowing you to launch and connect resources in a private and secure environment across multiple regions."
How does Google Cloud's global network infrastructure differ from other cloud providers?,"Google Cloud operates its own extensive global fiber network, including subsea cables, connecting its regions and edge points. This allows for low-latency, high-bandwidth connectivity for services like global load balancing and Vnet peering."
What is a subnet in Google Cloud VPC?,"A logical partition within a VPC network, defined by an IP address range. Subnets are regional resources, meaning they exist within a specific Google Cloud region."
Are Google Cloud VPC networks global or regional?,"VPC networks are global resources, meaning subnets in different regions within the same VPC can communicate privately by default without requiring separate peering connections."
What are Google Cloud Firewall Rules?,"Rules that control the traffic flow to and from VM instances within a VPC network. They are stateful and applied at the instance level, similar to security groups in AWS."
Are Google Cloud Firewall Rules stateful or stateless?,"Google Cloud Firewall Rules are stateful. Once a connection is allowed in one direction (e.g., inbound), the return traffic for that connection is automatically allowed, regardless of explicit outbound rules."
What is the default ingress behavior of Google Cloud Firewall Rules?,"By default, all inbound traffic to VM instances is denied, unless explicitly allowed by a firewall rule."
What is the default egress behavior of Google Cloud Firewall Rules?,"By default, all outbound traffic from VM instances is allowed, unless explicitly denied by a firewall rule."
What are `Network Security Policies` in Google Cloud?,"An advanced firewall feature that provides centralized, hierarchical control over network traffic for an organization or folder, allowing for more granular and attribute-based security rules."
How do Network Security Policies differ from standard Firewall Rules?,"Network Security Policies are hierarchical (applied at organization/folder level), support advanced L7 attributes (e.g., HTTP headers, URL paths), and integrate with Cloud Armor for WAF/DDoS protection."
What is `Cloud Load Balancing` in Google Cloud?,"A fully distributed, software-defined, managed service that distributes user traffic across multiple instances or services in various regions and zones, ensuring high availability and scalability."
What are the main types of Google Cloud Load Balancers?,"External Load Balancers (HTTP(S), SSL Proxy, TCP Proxy, UDP Proxy, Network TCP/UDP, External Passthrough Network) and Internal Load Balancers (HTTP(S), TCP/UDP, Internal Passthrough Network)."
Which Google Cloud Load Balancer is global and operates at Layer 7?,Global external HTTP(S) Load Balancer.
What is the primary use case for `Global External HTTP(S) Load Balancer`?,"Distributing web (HTTP/HTTPS) traffic globally to backend services in multiple regions, providing low latency and high availability for internet-facing applications."
Does `Global External HTTP(S) Load Balancer` support SSL/TLS termination?,"Yes, it supports SSL/TLS termination at Google's edge network, closer to the users."
What is `SSL Proxy Load Balancing` in Google Cloud?,"An external Layer 4 SSL/TLS proxy that terminates SSL traffic from clients and then distributes it to backend instances over TCP, often used for non-HTTP(S) SSL/TLS applications."
What is `TCP Proxy Load Balancing` in Google Cloud?,"An external Layer 4 TCP proxy that terminates TCP connections from clients and then distributes them to backend instances over TCP, used for non-HTTP(S) TCP applications."
What is `UDP Proxy Load Balancing` in Google Cloud?,"An external Layer 4 UDP proxy that provides global load balancing for UDP traffic, ideal for gaming, VoIP, and streaming."
What is `External Passthrough Network Load Balancer` (formerly Network TCP/UDP Load Balancer)?,"A regional Layer 4 load balancer that distributes TCP/UDP traffic to backend VMs. It's a non-proxy load balancer, preserving client IP addresses and allowing VMs to handle TLS/SSL."
What is `Internal HTTP(S) Load Balancing`?,"A regional Layer 7 load balancer that distributes HTTP/HTTPS traffic to backend services within your VPC network, accessible only from within the VPC."
What is `Internal Passthrough Network Load Balancer`?,"A regional Layer 4 load balancer that distributes TCP/UDP traffic to backend VMs within your VPC network, preserving client IP addresses, and acting as a pass-through."
What is `Cloud Armor`?,A DDoS protection and WAF (Web Application Firewall) service that leverages Google's global infrastructure to protect applications and services deployed on Google Cloud.
What types of attacks does Cloud Armor protect against?,"DDoS attacks (volumetric, protocol, application layer), SQL injection, XSS, and other common web vulnerabilities defined by OWASP Top 10."
Can Cloud Armor protect non-HTTP(S) traffic?,"No, Cloud Armor primarily provides WAF capabilities for HTTP(S) traffic and L3/L4 DDoS protection for traffic routed through HTTP(S) Load Balancers, SSL Proxy Load Balancers, and TCP Proxy Load Balancers."
What are `Security Policies` in Cloud Armor?,"Configurable sets of rules that define how Cloud Armor should inspect and handle incoming traffic (allow, deny, redirect, throttle)."
What is `Adaptive Protection` in Cloud Armor?,"A machine learning-based capability that automatically detects and protects against anomalous Layer 7 DDoS attacks, providing intelligence and suggestions for new rules."
What is `VPC Service Controls`?,"A feature that allows you to create security perimeters around your sensitive data and resources in Google Cloud, preventing data exfiltration and unauthorized access."
How do VPC Service Controls enhance network security?,"By creating a perimeter, it restricts access to services within the perimeter, controlling data movement and preventing unauthorized operations from outside the perimeter."
What services are typically protected by VPC Service Controls?,"Data storage services like Cloud Storage, BigQuery, Cloud SQL, and machine learning services."
What is `Private Service Connect`?,A feature that allows private and secure connectivity between your VPC networks and services in other VPC networks (either Google-managed services or third-party services).
How does Private Service Connect improve network security?,"It eliminates the need for public IP addresses, VPNs, or exposing services to the public internet for cross-VPC communication, keeping traffic entirely private within Google's network."
What is `Cloud VPN` (Virtual Private Network) in Google Cloud?,A service that securely connects your on-premises network to your Google Cloud VPC network over the public internet using IPsec VPN tunnels.
What are the types of Cloud VPN in Google Cloud?,"High-availability (HA) VPN (active/active tunnels) and Classic VPN (single tunnel, deprecated for new uses)."
What is `Cloud Interconnect`?,"A service that provides high-bandwidth, low-latency connectivity between your on-premises network and Google Cloud's network."
What are the types of Cloud Interconnect?,Dedicated Interconnect (direct physical connection) and Partner Interconnect (connection through a supported service provider).
How does Cloud Interconnect enhance network security?,"By providing a private, dedicated connection that bypasses the public internet, reducing exposure to internet-based threats and offering more predictable performance."
What is the role of `Shared VPC` in Google Cloud network security?,"Shared VPC allows an organization to share a VPC network from a host project with multiple service projects, enabling centralized network administration and security policy enforcement (e.g., common firewall rules, routing). "
What are `Hierarchical Firewall Policies`?,"A feature that enables you to create and enforce consistent firewall rules across multiple VPC networks, folders, and organizations, providing centralized control over network access."
How do `Hierarchical Firewall Policies` improve security governance?,"They allow security teams to define broad rules at higher levels (organization, folder) that apply to all projects and VPCs below them, ensuring compliance and reducing misconfigurations."
What is `Packet Mirroring` in Google Cloud?,"A feature that allows you to clone traffic from VM instances in your VPC network and forward it to a destination for out-of-band inspection, monitoring, or threat analysis."
What are common use cases for `Packet Mirroring` in network security?,"Intrusion detection, threat intelligence analysis, compliance auditing, and forensics."
What is `VPC Flow Logs` in Google Cloud?,"A feature that records a sample of network flows sent from and received by VM instances, providing insights into network traffic patterns for monitoring, troubleshooting, and security auditing."
What information is captured in VPC Flow Logs?,"Source/destination IP, port, protocol, bytes, packets, connection status (start, end, creation time), and firewall rule hit."
Where can VPC Flow Logs be published?,"Cloud Logging, Cloud Storage, or BigQuery."
What is `Cloud NAT` (Network Address Translation)?,A managed NAT service that allows instances in private subnets without external IP addresses to send outbound traffic to the internet while preventing unsolicited inbound connections.
How does Cloud NAT contribute to network security?,"By only allowing outbound connections initiated by instances, it limits the exposure of private instances to the public internet."
What is `Cloud DNS` in Google Cloud?,"A high-performance, resilient, global DNS service that publishes your domain names to the public internet or provides private DNS resolution for your internal VPCs."
What is `Private DNS Zones` in Cloud DNS?,"DNS zones that manage and resolve domain names within a VPC network without exposing them to the public internet, ideal for internal service discovery and secure communication."
How does `Cloud DNS` integrate with `VPC Service Controls`?,Private DNS zones can be included within a VPC Service Controls perimeter to further restrict access and prevent data exfiltration related to DNS resolution.
What is `Cloud IDS` (Intrusion Detection System)?,"A fully managed, cloud-native intrusion detection service that helps detect network-based threats by inspecting traffic for malware, spyware, command-and-control activity, and other attacks."
What is the underlying technology for `Cloud IDS`?,It uses technology from Palo Alto Networks and deploys a managed service in your VPC to perform deep packet inspection.
What are the best practices for `Network Segmentation` in Google Cloud?,"Using multiple VPC networks, subnets, and strong firewall rules to logically isolate different environments (e.g., production, staging, dev) and application tiers (web, app, DB)."
What is `Identity-Aware Proxy (IAP)`?,"A service that allows you to establish a central authorization layer for applications and VMs accessed via HTTPS, replacing the need for VPNs or public SSH/RDP access."
How does IAP enhance network security?,"It enables fine-grained, context-aware access control to internal resources over the public internet without exposing them directly, acting as a secure gateway."
What is `Serverless VPC Access`?,"A feature that allows serverless environments (Cloud Functions, App Engine, Cloud Run) to connect to resources inside your VPC network using private IP addresses."
How does `Serverless VPC Access` improve security for serverless applications?,"It keeps traffic between serverless functions and VPC resources private, without traversing the public internet, reducing exposure and simplifying network configuration."
What is `DDoS Protection` in Google Cloud beyond Cloud Armor?,Google Cloud's network infrastructure inherently provides significant protection against volumetric DDoS attacks at the network edge.
What is `Managed Service for Microsoft Active Directory` and its role in hybrid identity and security?,"A highly available, hardened Google Cloud service that hosts and manages Active Directory domain controllers, simplifying identity management and secure authentication for hybrid environments."
What is `Security Command Center`'s role in network security?,"It provides a centralized security and risk management platform for Google Cloud, aggregating findings from various services (e.g., Cloud Armor, VPC Flow Logs, Network Firewall) to give a unified view of your security posture."
What are `Security Health Analytics` findings in Security Command Center related to networking?,"Findings that identify network misconfigurations like overly permissive firewall rules, unencrypted load balancers, or unmanaged open ports."
What is `Cloud Logging` for network security?,"A service for collecting, storing, and analyzing logs from all Google Cloud services, including VPC Flow Logs, firewall logs, and load balancer logs, crucial for auditing and forensics."
What is `Cloud Monitoring` for network security?,"A service that collects metrics from Google Cloud resources. It can be used to monitor network performance, detect anomalies, and set up alerts for security events related to network traffic or resource health."
What is `Google Cloud Armor Standard` vs. `Managed Protection Plus`?,"Standard offers basic L3/L4 DDoS protection. Managed Protection Plus (a paid tier) provides enhanced DDoS protection, advanced WAF rules, and access to Cloud Armor's DDoS Response Team."
What is `Route-based VPN` vs. `Policy-based VPN` in Cloud VPN?,Route-based VPN uses dynamic routing (BGP) to exchange routes. Policy-based VPN uses static routes defined by IP address ranges for specific traffic flows.
What is the benefit of `High Availability VPN` (HA VPN)?,"Provides a more reliable VPN connection with two tunnels from different interfaces on the Cloud VPN gateway, providing redundancy for path and gateway."
Can Google Cloud Load Balancers serve content from Cloud Storage buckets?,"Yes, HTTP(S) Load Balancers can serve static content directly from Cloud Storage buckets as backends."
What is `CDN Integration` with Google Cloud Load Balancing?,"HTTP(S) Load Balancers integrate with Cloud CDN (Content Delivery Network) to cache content at Google's edge locations, improving performance and reducing origin load."
What is `Backend Services` in Google Cloud Load Balancing?,"A logical group of backend instances (VMs, instance groups, Kubernetes Pods) that receive traffic from a load balancer. It defines health checks and other load balancing parameters."
What is `Backend Buckets` in Google Cloud Load Balancing?,A type of backend service that allows HTTP(S) Load Balancers to serve content directly from Cloud Storage buckets.
What is `Backend NEGs` (Network Endpoint Groups) in Google Cloud Load Balancing?,"Groups of network endpoints (IP:port combinations) that can be used as backends for various load balancer types, enabling load balancing to containerized workloads or custom IP addresses."
What is `Serverless NEG` in Google Cloud Load Balancing?,"A type of Network Endpoint Group that targets serverless backends like Cloud Run, App Engine, or Cloud Functions, allowing them to be part of load balancing strategies."
What is `Private Google Access`?,"A feature that allows VMs in a private subnet to access Google APIs and services using Google's internal network, without requiring an external IP address or Cloud NAT."
How does `Private Google Access` enhance security?,"It ensures that API traffic remains within Google's private network, preventing exposure to the public internet."
What is `Cloud Router` in Google Cloud?,A fully distributed Google Cloud service that uses BGP to exchange routes between your VPC networks and your on-premises network (via Cloud VPN or Cloud Interconnect).
What is `Route Filtering` in Google Cloud Firewalls?,"The ability to specify source/destination IP ranges for firewall rules, including internal IP ranges, to control traffic flow between different segments of your VPC."
What is `Tag-based Firewall Rules`?,"Applying firewall rules based on network tags assigned to VM instances, allowing for flexible and dynamic grouping of instances for security purposes."
What is `Service Account-based Firewall Rules`?,"Applying firewall rules based on the service accounts assigned to VM instances, providing identity-based control over network traffic."
What is `Access Transparency` and its relevance to network security?,"Provides near real-time logs of actions taken by Google staff when accessing your content, enhancing visibility and trust for security and compliance."
What is `Cloud Security Scanner`?,"A service that scans App Engine, GKE, and Compute Engine web applications for common vulnerabilities, including network configuration issues."
What is the difference between `Regional External HTTP(S) Load Balancer` and `Global External HTTP(S) Load Balancer`?,"Regional operates within a single region, ideal for regional applications. Global spans multiple regions, using Google's global network for lowest latency routing to users worldwide."
What is `Anycast IP address` in Google Cloud Load Balancing?,"A single IP address that is advertised from multiple locations globally, directing traffic to the nearest healthy backend for faster response times, commonly used by global load balancers."
How does `Managed SSL Certificates` simplify SSL management in Google Cloud Load Balancing?,"Google Cloud automatically provisions, renews, and deploys SSL certificates for your load balancers, reducing operational overhead and ensuring up-to-date security."
What is `Custom Request/Response Headers` in HTTP(S) Load Balancing?,"Allows you to insert or modify HTTP headers for requests sent to backends or responses sent to clients, useful for passing context or enforcing security policies."
What is a Virtual Private Cloud (VPC) in Google Cloud?,"A logically isolated section of the Google Cloud network that you define, allowing you to launch and manage Google Cloud resources within your own private network."
How does Google Cloud's network infrastructure differ from other cloud providers in terms of global reach?,"Google Cloud offers a global network with a single, software-defined network that spans regions and continents, providing a low-latency, high-bandwidth backbone. This enables global load balancing and VNet peering without complex configurations."
What is a subnet in Google Cloud VPC?,"A segmented range of IP addresses within a VPC network, associated with a specific region. Resources like VMs are launched within a subnet."
What are Google Cloud Firewall Rules?,"Distributed and stateful rules that control traffic to and from VM instances within a VPC network, defined at the network level but enforced at each instance."
Are Google Cloud Firewall Rules stateful or stateless?,"Google Cloud Firewall Rules are stateful. If an inbound connection is allowed, the corresponding outbound return traffic is automatically allowed, and vice versa."
What is the default behavior of firewall rules in a new Google Cloud VPC?,Implicitly denies all ingress traffic and allows all egress traffic.
What are Network Security Policies in Google Cloud?,"A centralized way to manage firewall rules, allowing for hierarchical application (organization, folder, VPC level) and integration with IAM-governed Tags for more granular control than traditional network tags."
What is the difference between VPC Firewall Rules and Network Security Policies?,"VPC Firewall Rules apply to a single VPC. Network Security Policies are a container for rules that can be applied hierarchically (Org, Folder, VPC) and can be shared across VPCs, supporting IAM-governed Tags for identity-based filtering."
What is `Google Cloud Armor`?,"A DDoS protection and WAF (Web Application Firewall) service that helps protect Google Cloud deployments from various threats, including Layer 3/4 DDoS attacks and Layer 7 web application attacks (e.g., SQL injection, XSS)."
What types of attacks does Cloud Armor mitigate?,"Volumetric DDoS attacks (Layer 3/4), protocol DDoS attacks, resource-layer DDoS attacks (Layer 7), OWASP Top 10 vulnerabilities, and bot attacks."
What are `Adaptive Protection` in Cloud Armor?,An ML-based feature that automatically detects and helps mitigate high-volume Layer 7 DDoS attacks by analyzing traffic patterns to your backend services and suggesting WAF rules.
What is `Pre-configured WAF rules` in Cloud Armor?,Out-of-the-box rules based on industry standards (like OWASP Core Rule Set) to mitigate common web application vulnerabilities.
Can Cloud Armor protect applications running outside of Google Cloud?,"Yes, Cloud Armor can protect applications in hybrid and multi-cloud architectures when traffic is routed through Google Cloud's global load balancers."
What is `Google Cloud Load Balancing`?,"A fully distributed, software-defined load balancing service that can distribute user traffic to instances in single or multiple regions, providing high performance and scalability."
What are the main categories of Google Cloud Load Balancers?,External Load Balancers (Global and Regional) and Internal Load Balancers (Regional and Cross-Region).
What are the different types of External Load Balancers?,"External Application Load Balancer (HTTP/HTTPS), External Proxy Network Load Balancer (TCP/SSL), and External Passthrough Network Load Balancer (TCP/UDP)."
What are the different types of Internal Load Balancers?,Internal Application Load Balancer (HTTP/HTTPS) and Internal Passthrough Network Load Balancer (TCP/UDP).
What is the primary use case for an `External Application Load Balancer`?,"Distributing HTTP(S) traffic globally to web applications, offering advanced Layer 7 features like URL maps, SSL offloading, and WAF integration."
What is the primary use case for an `External Proxy Network Load Balancer`?,"Distributing TCP/SSL traffic globally, with optional SSL offloading, suitable for non-HTTP(S) applications that need global reach."
What is the primary use case for an `External Passthrough Network Load Balancer`?,"Regional, high-performance load balancing for TCP/UDP traffic that requires client IP preservation (e.g., gaming, IoT, VPN endpoints)."
What is the primary use case for an `Internal Application Load Balancer`?,"Distributing HTTP(S) traffic to services within a VPC network, ideal for internal microservices."
What is the primary use case for an `Internal Passthrough Network Load Balancer`?,"Distributing TCP/UDP traffic to backend services within a single region of your VPC network, often used for legacy applications or where strict client IP preservation is needed internally."
What is `Global External Application Load Balancing` in Google Cloud?,"Leverages Google's global network to provide a single anycast IP address that directs users to the nearest healthy backend across multiple regions, offering low latency and high availability."
How does Google Cloud's global load balancing enable high availability across regions?,By continuously monitoring the health of backend services in multiple regions and automatically routing traffic away from unhealthy regions or zones to healthy ones.
What is `SSL/TLS Offloading` in Google Cloud Load Balancers?,"The load balancer terminates the SSL/TLS connection from the client, decrypts the traffic, and then sends unencrypted (or re-encrypted) traffic to the backend instances, offloading the encryption burden from the backends."
Which Google Cloud Load Balancers support SSL/TLS offloading?,External Application Load Balancer and External Proxy Network Load Balancer.
What are `Backend Services` in Google Cloud Load Balancing?,"Resources that define how the load balancer distributes traffic to its backends (e.g., instance groups, NEGs), including health check settings, session affinity, and balancing modes."
What are `URL Maps` in Google Cloud Load Balancing?,"Resources used by Application Load Balancers to define routing rules based on hostnames and URL paths, directing requests to specific backend services."
What are `Health Checks` in Google Cloud Load Balancing?,"Configurations that define how the load balancer determines the readiness and health of its backend instances, ensuring traffic is only sent to healthy targets."
What is `Session Affinity` in Google Cloud Load Balancing?,"A setting that ensures requests from a specific client are always sent to the same backend instance. Options include Client IP, Generated Cookie, HTTP Header, and None."
What is `Network Service Tiers` in Google Cloud?,"A feature that allows you to optimize connectivity between systems on the internet and your Google Cloud instances, offering `Premium Tier` (Google's global backbone) and `Standard Tier` (regional, uses ISP networks)."
When would you choose Premium Tier for Network Service Tiers?,"For applications requiring global reach, lowest latency, and high availability, as it leverages Google's highly provisioned private global network."
When would you choose Standard Tier for Network Service Tiers?,"For regional applications with less stringent latency requirements, or when cost optimization for egress traffic is a higher priority."
What is `VPC Service Controls`?,"A security feature that helps mitigate data exfiltration risks by creating security perimeters around sensitive Google Cloud resources and services, restricting access to authorized networks."
How do VPC Service Controls enhance data security?,"They create a 'moat' around your sensitive data and services, preventing unauthorized movement of data to external networks, even if IAM permissions are misconfigured or credentials are stolen."
What services are typically protected by VPC Service Controls?,"Google-managed services like Cloud Storage, BigQuery, Pub/Sub, Cloud SQL, and more."
What are the options for `Hybrid Connectivity` in Google Cloud?,"Cloud VPN, Cloud Interconnect (Dedicated and Partner), and Cross-Cloud Interconnect."
What is `Cloud VPN` and its security implications?,Provides secure IPsec VPN tunnels over the public internet to connect on-premises networks to Google Cloud VPCs. Encrypts traffic in transit.
What is `Cloud Interconnect` and its security implications?,"Provides direct, private, high-bandwidth connections between your on-premises network and Google Cloud's network, bypassing the public internet to enhance security and reduce latency."
What are the two types of Cloud Interconnect?,`Dedicated Interconnect` (direct physical connection) and `Partner Interconnect` (connection through a supported service provider).
What is `Cross-Cloud Interconnect`?,"Connects Google Cloud directly to third-party cloud providers (e.g., AWS, Azure) to facilitate multi-cloud strategies securely."
What is `Cloud Router`?,"A Google Cloud service that uses BGP (Border Gateway Protocol) to dynamically exchange routes between your VPC network and peered networks (e.g., on-premises via VPN/Interconnect), simplifying network management."
What is `Private Service Connect`?,"A feature that enables private and secure consumption of Google-managed services (like Google APIs and services), producer services (your own or third-party), and endpoint access to published services, all using internal IP addresses within your VPC network."
How does Private Service Connect improve network security?,"It keeps service traffic entirely within the Google Cloud network, eliminating the need for public IP addresses, NAT gateways, or exposing services to the public internet."
What is an `Endpoint` in Private Service Connect?,"A network interface that connects your VPC network to a specific service endpoint, using a private IP address from your VPC."
What are `Service Attachments` in Private Service Connect?,Resources created by service producers to make their services available privately to consumers via Private Service Connect.
What is the role of `Cloud Logging` for network security?,"Collects and stores various logs (VPC Flow Logs, Firewall Rules Logging, Audit Logs) from Google Cloud resources, enabling security monitoring, auditing, and troubleshooting."
What is `VPC Flow Logs`?,"Records a sample of network flows sent from and received by VM instances, providing insights into network traffic for security analysis, network forensics, and troubleshooting."
Where can VPC Flow Logs be exported to?,"Cloud Logging, BigQuery, Cloud Storage, or Pub/Sub."
What is `Firewall Rules Logging`?,"A feature that allows you to audit, verify, and analyze the effects of your firewall rules by logging connections that match a rule."
What is `Cloud Monitoring`'s role in network security?,"Provides visibility into the performance, uptime, and overall health of your network resources through metrics, dashboards, and alerting capabilities."
What is `Network Intelligence Center`?,"A suite of tools in Google Cloud Console for observing, monitoring, and troubleshooting your Google Cloud network and project resources, consolidating network insights in one place."
What is `Packet Mirroring`?,"A feature that allows you to clone the traffic of specific instances in your VPC network and forward it to a destination (e.g., a security appliance) for out-of-band inspection, intrusion detection, or forensics."
What are some best practices for `Network Segmentation` in Google Cloud?,"Using separate VPC networks (or Shared VPC), subnets, and granular firewall rules to isolate different environments (e.g., dev, test, prod) and application tiers (e.g., web, app, database)."
What is `Shared VPC`?,"A feature that allows an organization to connect resources from multiple projects to a common VPC network, enabling centralized network administration while maintaining project-level separation for resource management."
What is `VPC Network Peering`?,"Connects two VPC networks, allowing resources in each network to communicate using internal IP addresses. It's a non-transitive connection."
What is `Cloud NAT`?,A managed NAT service that allows VM instances without external IP addresses to send outbound traffic to the internet while preventing direct inbound connections.
How does Cloud NAT contribute to network security?,"By centralizing outbound internet access and enabling instances to remain fully private, reducing their attack surface."
What is `Cloud IDS (Intrusion Detection System)`?,"A cloud-native intrusion detection service that detects threats like malware, spyware, command-and-control attacks, and more on your network traffic."
How does Cloud IDS operate?,It mirrors network traffic from specified subnets to a Google-managed Packet Mirroring service which then inspects the traffic for malicious activity.
What is a `Private Google Access`?,"Enables VMs in a private subnet to access Google APIs and services using Google's internal network, without needing external IP addresses or NAT gateways."
What is `Hybrid Load Balancing` in Google Cloud?,"The ability to include on-premises or other cloud environments as backends for Google Cloud Load Balancers, extending the load balancing capabilities to hybrid architectures."
How can you implement `Zero Trust` principles in Google Cloud Networking?,"By implementing granular firewall rules (least privilege), using Identity-Aware Proxy (IAP), and leveraging VPC Service Controls to establish strict perimeters."
What is `Identity-Aware Proxy (IAP)`?,"A service that allows you to establish a centralized authorization layer for applications and VMs, controlling who can access them based on identity and context rather than just network location."
What is `Google Cloud Armor Enterprise`?,"A premium offering of Cloud Armor that includes always-on DDoS protection, deeper visibility, access to the DDoS Response Team (DRT), and advanced bot management capabilities."
What is `Certificate Manager`?,"A service for acquiring and managing Transport Layer Security (TLS) certificates for use with Google Cloud Load Balancing and other services, simplifying certificate lifecycle management."
What is `Secure Web Proxy`?,"A cloud-first service that secures egress web traffic (HTTPS or HTTP) from your VPC networks, providing URL filtering, malware detection, and content inspection."
How does Secure Web Proxy enhance outbound security?,"By acting as a forward proxy, it inspects and filters outbound web requests based on security policies before they leave your network."
What are `Service Extensions` in Google Cloud Load Balancing?,"A feature that allows you to programmatically extend the load balancing data path at the edge using WebAssembly-based filters, enabling custom logic for traffic processing."
What is `Network Connectivity Center`?,"A managed service that allows you to connect and manage your networks with a hub-and-spoke architecture, enabling data transfer between sites and connecting VPC networks."
How does Network Connectivity Center simplify large-scale network management?,"It acts as a central hub for various network connections (VPNs, Interconnects, VPCs), simplifying routing and policy enforcement across a distributed environment."
What is `Cloud Domains`?,"A service that allows you to register and manage domain names directly within Google Cloud, simplifying DNS management for your applications."
What is `Cloud DNS`?,"A scalable, reliable, and managed authoritative DNS service that allows you to publish your domains and manage DNS records in Google Cloud."
What is a `Private DNS Zone` in Google Cloud?,"A DNS zone that allows you to manage and resolve domain names within a virtual network without the need for custom DNS servers, ensuring internal name resolution stays private."
What is `DNSSEC` in Cloud DNS?,"DNS Security Extensions, which adds a layer of security to DNS by providing origin authentication of DNS data and helping protect against DNS spoofing and cache poisoning."
What are `Route Tables` in Google Cloud?,"Collections of routing rules that control how traffic flows within a VPC network and to/from external networks, including default routes and User-Defined Routes (UDRs)."
What is `User-Defined Routes (UDRs)`?,"Custom routes that you configure in your VPC network's route tables to override Google Cloud's default system routes, often used to steer traffic through network virtual appliances (NVAs) for inspection."
What is `Next Generation Firewall`?,"A fully distributed firewall service with advanced protection capabilities, including L7 inspection and threat intelligence, to protect Google Cloud workloads from internal and external attacks."
How does the Next Generation Firewall enhance security beyond basic firewall rules?,"It offers advanced features like intrusion prevention, URL filtering, and threat intelligence integration for deeper traffic inspection and threat mitigation."
What is `BGP (Border Gateway Protocol)` in Google Cloud Networking?,A routing protocol used by Cloud Routers to dynamically exchange route information between your VPC network and on-premises networks or other cloud environments.
What is the significance of Google Cloud's `Anycast IP` addresses for load balancing?,"A single IP address that is advertised globally from multiple Google points of presence, allowing users to connect to the closest healthy backend, significantly reducing latency."
What is `Load Balancing Scheme`?,Defines whether a load balancer handles `EXTERNAL` traffic (from the internet) or `INTERNAL` traffic (within your VPC).`
What is `Subnet-specific Load Balancing`?,Internal load balancers are always regional and associated with a specific subnet within a region.
What is `Global Network Load Balancer (Classic)`?,A legacy type of global external TCP/SSL load balancer that uses Google Front Ends (GFEs) and supports global backends.
What does DNS stand for?,DNS stands for Domain Name System.
What is the primary purpose of DNS?,To translate human-readable domain names (like example.com) into machine-readable IP addresses (like 192.0.2.1) that computers use to identify each other on networks.
What is a 'domain name'?,"A human-friendly name used to identify a resource on the internet, such as a website or email server."
What is an 'IP address'?,A unique numerical label assigned to each device connected to a computer network that uses the Internet Protocol for communication.
What are the two main types of IP addresses?,"IPv4 (e.g., 192.168.1.1) and IPv6 (e.g., 2001:0db8::1)."
What is the DNS hierarchy?,"A tree-like structure that organizes domain names, starting from the root, then Top-Level Domains (TLDs), Second-Level Domains, and so on."
What is the 'root' in the DNS hierarchy?,"The top-most level of the DNS hierarchy, represented by a single dot (.)."
What is a 'TLD' (Top-Level Domain)?,"The highest level of domain names in the DNS hierarchy, such as .com, .org, .net, .gov, or country codes like .ca, .uk."
What is a 'Second-Level Domain'?,"The domain name directly to the left of the TLD (e.g., 'example' in example.com)."
What is a 'Subdomain'?,"A domain that is part of a larger domain (e.g., 'www' or 'blog' in www.example.com or blog.example.com)."
What is a 'DNS Zone'?,"A contiguous portion of the DNS namespace for which a specific DNS server is authoritative, containing resource records for that domain."
What is an 'Authoritative DNS Server'?,A DNS server that holds the definitive DNS records for a particular domain or zone and directly answers queries for that domain.
What is a 'Recursive DNS Resolver' (or DNS Resolver)?,"A DNS server that receives DNS queries from clients (e.g., your computer) and performs the necessary steps (contacting other DNS servers) to resolve the domain name to an IP address."
What are 'Root Name Servers'?,Servers that hold the pointers to the authoritative DNS servers for Top-Level Domains.
What is the 'DNS Resolution Process'?,The sequence of steps a DNS resolver takes to find the IP address corresponding to a domain name.
